Id,Title,Body,Tags
58954,Render of UIElement Causes App To Hang For Several Seconds,"<p>I have a WPF application - using MVVM for the design pattern.</p>

<p>In the Main View, there is a ContentPresenter that is bound to a property in the corresponding ViewModel.  I have type-referential datatemplate for the data type associated with that property.  Essentially, based on a certain action performed by the user, the ContentPresenter will display the data from a specific data template.  In the data template I have DevExpress' GridControl.  It sucks and I hate it, but due to company standards, I have to use it.  My main pain point is that it takes several noticable seconds for the UI to render to data template because of this GridControl.  Is there anything that I can do to mitigate this?  I'd like to display a ""please wait"" progress indicator, but even that gets stuck for several seconds...</p>

<p>Please help.</p>
",wpf devexpress
58955,Determining the divergence of an integral. $1/x^p$,"<p>I am trying to determine for which p > 0 the improper integral $\int_{0}^{1}dx/x^p$ converges. The first step I have taken for these improper integrals was to set them in a form of a limit, but I am having a hard time doing this... Can anybody help?</p>
",calculus limit
58956,Best opensource/ free stacking software for mac for astrophotography,"<p>I am using snow leopard and mainly want it to automate the stacking as much as possible. I have seen that PixInSight looks pretty awesome, but that's not free, in-fact far from it, so I want something that is free that can do the same, or as much as possible.</p>
",software astrophotography open-source macintosh
58957,Is there a registry key to disable sounds on the SAP GUI?,"<p>Is there a registry key to disable sounds on the SAP GUI?</p>

<p>I know that <a href=""http://howtosap.blogspot.co.uk/2011/05/disable-sap-gui-sound-or-notification.html"" rel=""nofollow"">sounds can be disabled manually</a>, but I want to be able to set the default value to 'off' on people's PC's.</p>
",audio gui sap
58958,"How to map ""special"" keys of the keyboard to some mappings in linux?","<p>I have recently bought a new keyboard, and it has a lot of unused special keys - like ""launch Excel"", ""launch Word"", etc. I suspect there is a way to map the keypresses on those keys to some useful actions (currently, they do absolutely nothing).</p>

<p>How can I do this?</p>

<p>NOTES:</p>

<p>This is the usb keyboard. I found out that while most of the normal keys provide some info via the <code>/dev/input/event2</code> device, half the normal keys (not catchable by xev) do some action on <code>/dev/input/event3</code>.</p>

<p>And there are other 9 keys that do not do anything on any of the input devices.</p>
",linux keyboard keyboard-shortcuts linux-mint
58959,Amazon AMI image out of date issue,"<p>I'm having huge problem. I create AMI image of the system then I create new system out of AMI image (using AWS management console). In new system (created out of image) in folder /etc/init.d/ my files are out of date. I don't see latest changes which I did to the files right before I've created an image.</p>

<p>Does anybody know any explanation for this totally strange behaviour?</p>
",linux amazon-web-services amazon-ami
58960,Display Data in List view after SAX Parsing,"<p>Can anyone give me a full tutorial series Link or sample eclipse project code Link for displaying data in list view after SAX Parsing of XML in Android.</p>

<p>Thanks in advance.   </p>
",java android xml listview sax
58961,basic redirect with HttpHandler (c#),"<p>i have a website which has recently moved to another domain (same but with different extension).</p>

<p>the old site finishes with .co.uk and the new one is .com</p>

<p>i want to use a httphandler to redirect all requests (if they are for .co.uk) to the equivalent page but with the .com extension (and to also rewrite the URL to match the change in location from .co.uk to com)</p>
",asp.net redirect httphandler
58962,Cannot create PlaceTokenizer class,"<p>Good day to everybody! I'm trying to create a project based on google's tutorial example for ""GWT Development with Activities and Places"" article.I have created several places and inside each of them a Tokenizer class. When I try to compile project, I receive the following errors:</p>

<pre><code>Found type 'com.calendarmvp.client.mvp.AppPlaceHistoryMapper'
     [ERROR] Annotation error: cannot resolve  com.calendarmvp.client.place.GreetingsPlace$Tokenizer
    java.lang.ClassNotFoundException: com.calendarmvp.client.place.GreetingsPlace$Tokenizer
at java.net.URLClassLoader$1.run(URLClassLoader.java:202)
at java.security.AccessController.doPrivileged(Native Method)
at java.net.URLClassLoader.findClass(URLClassLoader.java:190)
at java.lang.ClassLoader.loadClass(ClassLoader.java:307)
at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:301)
at java.lang.ClassLoader.loadClass(ClassLoader.java:248)
at java.lang.Class.forName0(Native Method)
at java.lang.Class.forName(Class.java:247)
at com.google.gwt.dev.javac.TypeOracleMediator.resolveAnnotationValue(TypeOracleMediator.java:750)
at com.google.gwt.dev.javac.TypeOracleMediator.resolveAnnotationValue(TypeOracleMediator.java:689)
at com.google.gwt.dev.javac.TypeOracleMediator.createAnnotation(TypeOracleMediator.java:498)
at com.google.gwt.dev.javac.TypeOracleMediator.resolveAnnotation(TypeOracleMediator.java:648)
at com.google.gwt.dev.javac.TypeOracleMediator.resolveAnnotations(TypeOracleMediator.java:663)
at com.google.gwt.dev.javac.TypeOracleMediator.resolveClass(TypeOracleMediator.java:809)
at com.google.gwt.dev.javac.TypeOracleMediator.addNewTypes(TypeOracleMediator.java:439)
at com.google.gwt.dev.javac.TypeOracleMediatorFromSource.addNewUnits(TypeOracleMediatorFromSource.java:52)
at com.google.gwt.dev.javac.CompilationState.assimilateUnits(CompilationState.java:164)
at com.google.gwt.dev.javac.CompilationState.&lt;init&gt;(CompilationState.java:82)
at com.google.gwt.dev.javac.CompilationStateBuilder.doBuildFrom(CompilationStateBuilder.java:450)
at com.google.gwt.dev.javac.CompilationStateBuilder.buildFrom(CompilationStateBuilder.java:370)
at com.google.gwt.dev.cfg.ModuleDef.getCompilationState(ModuleDef.java:360)
at com.google.gwt.dev.Precompile.precompile(Precompile.java:252)
at com.google.gwt.dev.Precompile.precompile(Precompile.java:233)
at com.google.gwt.dev.Precompile.precompile(Precompile.java:145)
at com.google.gwt.dev.Compiler.run(Compiler.java:232)
at com.google.gwt.dev.Compiler.run(Compiler.java:198)
at com.google.gwt.dev.Compiler$1.run(Compiler.java:170)
at com.google.gwt.dev.CompileTaskRunner.doRun(CompileTaskRunner.java:88)
at com.google.gwt.dev.CompileTaskRunner.runWithAppropriateLogger(CompileTaskRunner.java:82)
at com.google.gwt.dev.Compiler.main(Compiler.java:177)
   [ERROR] Annotation error: expected class java.lang.Class, got null
</code></pre>

<p>My GreetingsPlace class is such:</p>

<pre><code>public class GreetingsPlace extends Place {
  private String GreetingsPlaceName;

  public GreetingsPlace(String place) {
    this.GreetingsPlaceName = place;
  }

  public String getGreetingsPlaceName() {
    return GreetingsPlaceName;
  }

  public static class Tokenizer implements PlaceTokenizer&lt;GreetingsPlace&gt; {

    @Override
    public String getToken(GreetingsPlace place) {
      return place.getGreetingsPlaceName();
    }

    @Override
    public GreetingsPlace getPlace(String token) {
      return new GreetingsPlace(token);
    }
  }
}
</code></pre>

<p>AppPlaceHistoryMapper is such:</p>

<pre><code>@WithTokenizers({
    HelloPlace.Tokenizer.class, 
    GoodbyePlace.Tokenizer.class,
    GreetingsPlace.Tokenizer.class, 
    ManagerPlace.Tokenizer.class,
    UserPlace.Tokenizer.class
    })
public interface AppPlaceHistoryMapper extends PlaceHistoryMapper {
}
</code></pre>

<p>Maybe I am missing something... Can anyone help me? Thank's in advance!</p>
",java gwt mvp
58963,Is 'some_program <some_file' faster than 'cat some_file | some_program'?,"<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://unix.stackexchange.com/questions/16279/should-i-care-about-unnecessary-cats"">Should I care about unnecessary cats?</a>  </p>
</blockquote>



<p>Both would be functionally equivalent, but when using cat wouldn't it be slower because you have a process first reading the file and then sending it through a pipe to another process, instead of the process just reading the file? But I've seen this usage 'cat file | program' in a lot of examples. I assume they wouldn't use it that much in examples if it had bad performance.</p>
",io-redirection pipe cat
